artist,listeners,artisturl,totalscrobbles,latestreleaseurl,latestreleasename,popularthisweekurl,popularthisweekname,similarartistsurl,similarartistsnames,genres
,,,"58,050",/music/Sean+Nelson/Viral+Love+-+Single,Viral Love - Single,/music/Sean+Nelson/_/Make+Good+Choices,Make Good Choices,/music/Harvey+Danger,Harvey Danger,/tag/alternative
,,,,,,,,/music/Racetrack,Racetrack,/tag/indie
,,,,,,,,/music/The+Long+Winters,The Long Winters,/tag/seattle
,,,,,,,,,,/tag/banned+by+spotify2017
,,,,,,,,,,/tag/covers
,,,"78,235",/music/Fresh+Espresso/On,On,/music/Fresh+Espresso/_/Diamond+Pistols,Diamond Pistols,/music/Mad+Rad,Mad Rad,/tag/hip-hop
,,,,,,,,/music/Gabriel+Teodros,Gabriel Teodros,/tag/hip+hop
,,,,,,,,/music/grynch,grynch,/tag/seattle
,,,,,,,,,,/tag/pop
,,,,,,,,,,/tag/2000s
,,,"46,444",/music/Lost+Triibe/Escape+EP,Escape EP,/music/Lost+Triibe/_/Clockwork,Clockwork,/music/Brothers+from+Another,Brothers from Another,/tag/indie
,,,,,,,,/music/B00TY,B00TY,/tag/electronic
,,,,,,,,/music/SWELO,SWELO,/tag/seattle
,,,"53,159",/music/Ten+Commandos/Ten+Commandos,Ten Commandos,/music/Ten+Commandos/_/Staring+Down+the+Dust+(feat.+Mark+Lanegan),Staring Down the Dust (feat. Mark Lanegan),/music/Matt+Cameron,Matt Cameron,/tag/rock
,,,,,,,,/music/Dolomite+Minor,Dolomite Minor,/tag/grunge
,,,,,,,,/music/HBS,HBS,/tag/seattle
,,,,,,,,,,/tag/united+states
,,,,,,,,,,/tag/mark+lanegan
,,,"39,765",/music/Moon+Fever/Forever+Sleep,Forever Sleep,/music/Moon+Fever/_/Nothing+Left+to+Lose,Nothing Left to Lose,/music/No+Fit+State,No Fit State,/tag/alternative
,,,,,,,,/music/South+Of+Eden,South Of Eden,/tag/seattle
,,,,,,,,/music/Them+Evils,Them Evils,
,,,"54,275",/music/Hot+Bodies+in+Motion/Fortune,Fortune,/music/Hot+Bodies+in+Motion/_/Old+Habits,Old Habits,/music/Pickwick,Pickwick,/tag/blues
,,,,,,,,/music/The+Black+Cadillacs,The Black Cadillacs,/tag/indie
,,,,,,,,/music/Leopold+and+His+Fiction,Leopold and His Fiction,/tag/indie+rock
,,,,,,,,,,/tag/blues+rock
,,,,,,,,,,/tag/garage+rock
,,,"46,226",/music/Nick+Weaver/Won%27t+Let+Go,Won&#39;t Let Go,/music/Nick+Weaver/_/Lamb+Man,Lamb Man,/music/Matt+Easton,Matt Easton,/tag/hip+hop
,,,,,,,,/music/Marc+Goone,Marc Goone,/tag/seattle
,,,,,,,,/music/Brothers+from+Another,Brothers from Another,/tag/genre:+hip-hop
