danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song,track_id,artist,event,type,popularity
0.703,0.851,1,-4.918,0,0.144,0.031,0.0,0.354,0.315,89.958,264667,4,BTS,6Jr2GutTFyfvAzGA36R2Uj,Rain,Rain,Weather,59
0.871,0.346,5,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,207680,4,Jack Johnson,2iXdwVdzA0KrI2Q0iZNJbX,Better Together,Rain,Weather,76
0.44,0.508,3,-7.821,1,0.0274,0.536,0.525,0.0903,0.217,81.097,219453,4,Beach House,24bzJwjGBWtGCs7xKIKQsB,Wildflower,Rain,Weather,63
0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.881,240707,4,Rihanna,789CxjEOtO76BVD1A9yJQH,Stay,Rain,Weather,72
0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,4,The Doors,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,Rain,Weather,71
0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967,275040,4,Taylor Swift,1XjHRolIXL2M1EEOUsGGR4,cowboy like me,Rain,Weather,66
0.415,0.104,0,-11.83,1,0.0426,0.955,3.79e-06,0.104,0.18,82.006,256300,3,Sleeping At Last,4g2WiijzSKzH8PApKDbadN,Touch,Rain,Weather,67
0.31,0.149,0,-19.265,1,0.0304,0.99,0.34,0.0776,0.322,162.802,298587,3,Bon Iver,2dW05vYi45Fd65qGrVzPEB,Wash.,Rain,Weather,62
0.215,0.316,3,-12.201,1,0.0297,0.135,0.244,0.595,0.19,94.627,258986,3,Daughter,2I07Lbee7UvoAdlTAl37AM,Medicine,Rain,Weather,65
0.543,0.926,6,-6.776,0,0.0447,0.387,0.446,0.0669,0.597,80.501,262209,1,Lord Huron,54hj06Z7sm7DaHSrGGMAZG,Meet Me In The Woods,Rain,Weather,63
0.605,0.629,10,-5.051,1,0.0279,0.437,0.0,0.097,0.308,99.894,241373,4,The Script,3nqqDo8CcCLke3ZoTgiOKf,The Man Who Can't Be Moved,Rain,Weather,80
0.379,0.208,5,-13.858,1,0.0426,0.94,1.05e-06,0.114,0.163,82.085,150520,3,keshi,72sfmdpuO5r8cBDgs7MqZZ,UNDERSTAND,Rain,Weather,76
0.814,0.373,7,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,191907,4,Jack Johnson,0BgbobvykXxEvxo2HhCuvM,Banana Pancakes,Rain,Weather,72
0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,251480,3,Lana Del Rey,1y3r6RXiJZNBV1EI0NggpS,Ultraviolence,Rain,Weather,77
0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,268293,4,Hozier,37zuIvk4KBkAxxLJsxJaHq,Would That I,Rain,Weather,75
0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,271800,4,Adele,6DEMMeWXfmFAXgDUMMzeg6,All I Ask,Rain,Weather,72
0.597,0.267,2,-8.796,1,0.031,0.793,0.0014,0.111,0.247,75.545,236720,4,Bahamas,6IBpFG2LU2udYofIuROp3w,Lost In The Light,Rain,Weather,67
0.26,0.87,1,-22.09,1,0.335,0.00433,0.959,0.519,0.0394,63.73,164000,4,Drip-Drop,2QtHxdxJ5Dc2eVHEfPA079,Cozy Thunder And Rain - Seamless,Rain,Weather,69
0.197,0.972,11,-16.067,0,0.0934,5.52e-06,0.97,0.355,0.0222,125.529,132125,4,Harmonious Nature,767C8s4KVShgz4r8hqJAd0,Luscious Rain,Rain,Weather,64
0.0831,1.0,7,-13.743,1,0.0626,0.24,0.985,0.937,1e-05,84.42,202000,1,Rain,2k0Uey3IUXsazhtmGCd9XJ,rAin,Rain,Weather,65
0.153,0.972,0,-24.985,1,0.0554,0.116,0.967,0.686,0.00825,103.03,208000,4,Chō,0m2TR5Z8tZxhBT00aNE3iU,Stormy Nights,Rain,Weather,64
0.113,0.593,5,-24.792,0,0.0587,0.0622,0.694,0.463,0.0374,93.914,127803,3,Vanessa Storm,3l30IZUBWUfh3MGvCaGFrv,Acidity Rain,Rain,Weather,56
0.15,0.999,1,-11.246,1,0.107,0.0233,0.855,0.419,0.0154,135.556,153279,4,Ciclo del Agua,4H26XrehY3uGaYjMSQ9ZIY,Tormenta lejana,Rain,Weather,54
0.157,0.563,4,-16.904,0,0.0632,6.7e-05,0.981,0.499,0.00389,86.796,136719,4,Sounds Caused By Lightning,1DNAhPyIw2BYonJ8BCmHQP,May Storm,Rain,Weather,63
0.136,0.86,10,-23.818,0,0.0682,6.5e-05,0.863,0.384,0.0234,78.889,171868,4,Tornadoez,6d0kV5XiW515IZ0TFYeN7W,Lightning in the Rain,Rain,Weather,60
0.164,0.987,10,-16.22,0,0.0395,0.128,0.764,0.973,1e-05,114.333,170000,4,Noise and Nature,44h5mvTeasof8sPZdCNQVS,Rain Puddles,Rain,Weather,64
0.166,0.814,6,-25.288,0,0.0655,0.235,0.952,0.382,0.0223,112.814,120000,1,Haruna Fields,0T4xlWzMyjoMW3GmiVzG07,Black Bolt,Rain,Weather,57
0.167,0.858,5,-20.461,1,0.107,0.000247,0.932,0.527,0.013,118.765,208000,4,Ogień,36FvQBMn5ZaS9l5Ze5Dw5A,Midnight Storm,Rain,Weather,65
0.164,0.398,0,-25.963,0,0.0802,0.000101,0.926,0.748,0.0564,89.485,121115,4,Eva Poured,7MhZHbrf3xvUdUBO0NCWYJ,Perfect Rain,Rain,Weather,59
0.068,0.562,6,-19.857,1,0.113,6.53e-05,0.882,0.257,0.0398,77.712,196000,4,"Sleep, Study, Focus",0TyW7t2bweA1BLsIOc2iah,Big Thunder,Rain,Weather,56
0.158,0.542,1,-24.552,1,0.0805,0.000453,0.941,0.391,0.0352,131.109,153066,3,Distantic,3g8n6JHQDGGjrE27lAtpvn,Watch The Storm,Rain,Weather,70
0.0871,0.782,1,-24.18,1,0.0817,0.00303,0.955,0.488,0.0333,86.31,281619,4,Essential Nature Sounds,4LH3hYpqzwfX22Au9ghCPU,Rain & Distant Thunder,Rain,Weather,56
0.0764,0.998,3,-26.054,1,0.042,0.696,0.602,0.963,1e-05,82.987,184000,4,Dozy Sounds,5BMiNda6qOfuMa8KO4V7l3,Dozy Rain - Rain,Rain,Weather,66
0.161,0.736,5,-24.697,0,0.0759,0.000554,0.944,0.143,0.0151,111.754,122000,4,Amida Nature Sounds,00ChJJWChWCHfHDOnsnWvv,Drops And Thunder,Rain,Weather,55
0.181,0.977,8,-26.187,1,0.0433,0.13,0.885,0.797,0.0141,91.691,216062,3,Tono,0WpKvgOUCpKowejZgeO5W0,Always Raining,Rain,Weather,68
0.147,0.848,1,-21.693,1,0.0697,0.00282,0.386,0.362,0.0239,83.254,170000,4,Celestial Noise,5QrXyHPlJOtT8quR4URGa7,Sky Thunder,Rain,Weather,55
0.113,1.0,4,-22.446,1,0.0517,0.365,0.549,0.948,1e-05,161.897,136000,4,Rain Recordings,6wylgOavjiq5DxfwrBWDJp,Quality Rain,Rain,Weather,65
0.19,0.999,7,-23.419,0,0.0481,0.967,0.469,0.97,1e-05,84.763,158987,3,Natur Musikanten,1MyeT7GjwylrPvcLsBSjds,Under the Rain Clouds,Rain,Weather,65
0.149,0.832,3,-17.274,1,0.108,0.0148,0.893,0.394,1e-05,101.647,137750,3,Four Winds,1SirUENsOpONVZ7DKCg0VU,Night Storm,Rain,Weather,57
0.194,0.691,1,-23.188,1,0.105,0.00833,0.918,0.382,0.0351,79.518,127060,3,Elise Édouard,5Bwc0m1mEGgtMOTtJell0T,Nuage Froid,Rain,Weather,57
0.185,0.465,0,-25.618,0,0.0808,0.000418,0.962,0.481,0.0486,100.669,148608,4,Rainy Forecast,4H2UoVHDlQe6t14ulSYW6y,Out In the Wild,Rain,Weather,55
0.0717,0.95,5,-19.739,0,0.0659,7.29e-05,0.0,0.155,0.0303,62.68,131000,5,Équipage ambiant,0UpFU29vwGW37q9naircXx,Pluie Fraîche en Forêt,Rain,Weather,58
0.231,0.976,10,-27.426,0,0.0487,0.152,0.987,0.48,0.00672,96.552,131500,5,ame,3L1JHXiqNOJ57w3n2R3HyU,raining for hours,Rain,Weather,82
0.164,0.162,2,-25.235,1,0.0555,0.835,0.671,0.934,1e-05,83.693,208000,3,Pacific Rain,5yvsWvwVq8bYrltqTi9TxJ,Distant Rain,Rain,Weather,66
0.468,0.968,11,-26.555,0,0.0374,0.348,0.933,0.907,0.0147,54.049,127060,3,Literrain,0I42DRVbtMJr0bLEO6ZQB6,Garasia Rain Forest,Rain,Weather,66
0.15,0.667,1,-23.215,1,0.0987,0.0168,0.859,0.478,0.0322,106.449,121115,3,LWD Rain,48jzJCr5iHi1aMuhTKlXP0,Dark skies,Rain,Weather,65
0.0912,0.995,3,-20.791,1,0.0537,0.144,0.991,0.96,0.000331,88.135,208000,3,pluvia,1WUv66of1uUlVaDl7C9tt7,rain in stavanger,Rain,Weather,65
0.107,0.691,1,-21.342,1,0.124,0.0667,0.945,0.427,0.042,86.95,158250,3,High Voltage,4PHRttQK5SWtPDBVEPnbhu,Under The Clouds,Rain,Weather,65
0.143,1.0,8,-18.58,0,0.0699,0.33,0.997,0.99,1e-05,76.895,214998,3,ANCIENT RAIN,67OwsQXaeWLa2VAV0RHymM,Blu Droplets,Rain,Weather,64
0.209,0.975,1,-24.72,0,0.0638,0.399,0.882,0.941,0.0174,83.862,167500,4,Miraflor,0bXYBIzlncmj0LwOd3J5wn,Rain On The Porch,Rain,Weather,64
0.196,0.881,8,-16.184,1,0.067,0.0212,0.892,0.403,0.0276,78.994,236000,5,Four Winds,3MU3OGBU2fJS23fIU3JE8s,Endless Rain Loop,Rain,Weather,64
0.237,0.512,2,-27.513,1,0.0465,0.119,0.323,0.818,0.00328,70.243,129000,3,Epiphonema,4CTDJG3F26MUJEwnJ2fhJh,Raining Me Softly,Rain,Weather,64
0.153,0.999,3,-26.543,0,0.0468,0.6,0.376,0.892,1e-05,133.621,174000,4,NatuREM,4iA69uEBQfAItJ9k4DttC0,REM Cycle Rain,Rain,Weather,64
0.214,0.99,2,-31.911,1,0.0534,0.142,0.993,0.901,1e-05,109.631,120000,3,Regnskur,5Jg2TWaUW9RaoUCFuKEBLx,Morgonregn,Rain,Weather,64
0.0783,0.921,5,-21.387,0,0.0544,0.0508,0.916,0.333,0.0244,173.967,126000,4,Lunacy,0MACB4R2mVmzfoNDJlgGeI,Tumult Weather,Rain,Weather,63
0.171,0.943,9,-23.278,1,0.0743,0.00428,0.862,0.947,0.0206,123.31,146333,3,Orage et pluit,08w84SD08M8bE1beK2mG1P,Forte pluie et tonnerre,Rain,Weather,63
0.159,0.993,2,-13.688,1,0.05,0.125,1.0,0.786,1e-05,81.965,192000,1,Regnmannen,0M3WuiuXXtxT1g2uAydhSs,Det Regnar,Rain,Weather,63
0.132,0.979,11,-18.141,1,0.0746,0.199,0.875,0.347,0.0118,143.096,174000,5,Nature Trudge,3eRC23AjDFRiojUhdbrkDM,Storms Out,Rain,Weather,63
0.136,0.453,0,-19.117,0,0.529,0.016,0.981,0.885,1e-05,95.44,156038,4,Electricality,5hf4IrzBngV1tdtDKDzt7a,Wet Weather,Rain,Weather,62
0.126,1.0,11,-23.63,1,0.0353,0.173,0.897,0.929,1e-05,84.275,160000,4,NatuREM,3VeEplQsKzt4ls3tTJrtvO,Forest Spirits (Rain),Rain,Weather,64
0.191,0.455,0,-25.649,0,0.0954,0.000426,0.92,0.5,0.038,106.107,150094,4,Harmless Harmonics,7AA6L1DQd4aOg5CHxhhUMx,Natural Sounds Of Nature,Rain,Weather,62
0.24,0.394,8,-24.248,1,0.101,0.0266,0.822,0.355,0.0356,61.023,156008,4,Skyyy,6sZVHMKQ7lf57eTlgby2WL,Distant Storm,Rain,Weather,62
0.0781,0.86,6,-19.798,1,0.0593,0.063,0.986,0.709,0.00484,170.265,208000,4,Salvo,4D1voq8tKTsgOloyHpjiaY,Beyond Storm,Rain,Weather,62
0.0593,0.851,9,-20.334,0,0.0759,0.000395,0.989,0.413,0.0285,49.529,153750,4,WeatherBug,4e0g5gfNw19IVhwSgPDsHc,Thunderclaps,Rain,Weather,62
0.155,0.629,1,-27.102,1,0.069,0.00195,0.00174,0.404,0.0348,106.743,208000,4,Zinan,4YPTI6iWXVTGIzDLKvInM0,Voltage Dreams,Rain,Weather,62
0.196,0.991,1,-16.965,1,0.0624,0.119,0.987,0.951,0.0207,137.201,221000,4,Celestial Noise,678emSwcNj7TVaNlFRt2DC,Earth Rain,Rain,Weather,62
0.0572,0.678,1,-23.838,1,0.0857,0.000144,0.922,0.8,0.0264,68.88,208000,3,BLITZ,1SVyDxMo3VtdWz1fzegvDy,Graue Wolken,Rain,Weather,62
0.162,0.63,1,-21.441,0,0.0662,0.000333,0.989,0.384,0.0232,128.04,208000,4,Drivotra,0GGHxdy1mw6OcS2dVAH0es,The Sky's Awake,Rain,Weather,62
0.167,0.365,7,-21.465,0,0.0581,0.000113,0.959,0.442,0.0218,79.946,138948,4,Selectrodynamic,5PEATiUtV0CSiIczAYLSUx,Soothing Rainstorm,Rain,Weather,61
0.214,0.555,5,-26.795,0,0.0589,0.0275,0.866,0.743,0.0361,97.864,154552,4,Sound FX of Nature,04gDwncwCgqRuVFyZsrQn5,Rain White Noise,Rain,Weather,61
0.0636,0.553,10,-29.364,0,0.0592,0.117,0.882,0.224,0.0307,192.041,124000,4,Haruna Fields,5jD3UfznmqTdBvWOkKKPKa,Storm Dreaming,Rain,Weather,61
