danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song,track_id,artist,event,type,popularity
0.244,0.883,1,-23.996,1,0.0688,0.326,0.95,0.827,0.0323,141.832,172784,4,Baltic Thunderstorms,2H09YrtzPnwOtTJwbHooV9,Cozy Storm,Rain,Weather,40
0.529,0.995,6,-13.22,0,0.0709,0.898,0.97,0.365,0.0274,113.508,149500,4,Peaceful Plausible,6d4mT4J1RkeF60CTn6W9Fc,Cosy Car Rain,Rain,Weather,40
0.329,0.984,1,-22.279,1,0.0925,0.603,0.938,0.571,0.0238,75.637,182125,3,Zen Master,3P52wWLZa5Y1CNazZA5DBb,Summer Rain,Rain,Weather,40
0.255,0.998,2,-18.79,1,0.055,0.288,0.984,0.483,0.00731,114.114,140312,5,Rainer & Co,5RhwPb9stT7e7FsAeUrUZM,True Elements,Rain,Weather,40
0.176,0.94,1,-20.621,1,0.0569,0.338,0.971,0.326,0.0262,90.036,201062,3,Peter Graham,5SP27iVBdW42lMZph6ceNR,Rain Drops,Rain,Weather,40
0.369,0.939,0,-29.214,0,0.0564,0.889,0.764,0.688,0.0202,55.615,187750,3,Stormy Dreams (Rain),4w1U8pTcgBDRqsX9W8FgQB,Deep Sleep Peaceful Rain,Rain,Weather,40
0.173,0.998,4,-18.976,1,0.0571,0.29,0.98,0.722,0.00284,128.972,195000,4,Drip-Drop,6DAspKyJW32ShusALvQqFu,Dreary Weather,Rain,Weather,40
0.258,1.0,3,-21.085,1,0.0473,0.114,0.915,0.949,1e-05,139.094,196500,3,Leonard Poole,29ztwJlRRsaolUGZg2W6pc,Light Airy Rain,Rain,Weather,40
0.247,0.995,1,-23.466,1,0.0702,0.609,0.972,0.851,0.00178,113.211,163966,3,MKG Sound Library,1bAxCYqGbTzjYVeH30pRZq,Green Noise For Sleeping (Rain),Rain,Weather,40
0.114,0.964,0,-26.23,1,0.06,0.078,0.996,0.874,0.022,150.757,208000,3,Haya Sounds,5U3PWh3MROXWtepFYB6NAF,Grey Clouds,Rain,Weather,40
0.077,0.998,7,-22.086,1,0.0545,0.93,0.805,0.676,1e-05,82.567,147527,3,JBE Noise Factory,1Ll6DbRDeyQTkNdW0AbnmL,August Rain - Green Noise,Rain,Weather,40
0.171,0.637,1,-41.534,1,0.0788,0.329,0.943,0.928,0.00995,125.036,181000,4,NatuREM,6KpmZVFsjuU9295Wff25Io,Pond Cabin (Rain),Rain,Weather,40
0.176,0.984,3,-20.584,1,0.0595,0.309,0.977,0.37,0.0216,101.985,155082,3,Altostratus,0LFxvRcHo2foS0n1zeFQvR,En Paz,Rain,Weather,39
0.216,0.951,1,-18.712,1,0.0758,4.63e-05,0.0,0.419,0.0271,58.173,122000,5,Aquaplasm,4SyLIMUAIxuKQR50mSNwZA,Big Droppa feat Lil Rumble,Rain,Weather,39
0.384,0.959,1,-23.854,1,0.0505,0.819,0.962,0.41,0.0214,96.407,172000,1,Mind & Body,6w5nfQXceDxyzCSC90Vate,Calming Rain Forest,Rain,Weather,39
0.164,1.0,10,-14.306,1,0.0722,0.8,0.609,0.931,1e-05,127.609,150375,4,Washy Wonka,1OAshDUjEqlRk7nKthpMHP,Rainily,Rain,Weather,39
0.0911,0.998,11,-25.915,1,0.0422,0.122,0.592,0.855,1e-05,83.493,171247,4,Maîtres de la pluie,0ojy1IrH8EXWebjvPaoMnw,Tranquil Rain Shower,Rain,Weather,39
0.34,0.776,1,-30.469,1,0.223,0.511,0.978,0.958,0.0272,108.082,175305,1,Atlantic Thunders,4yGdvX8sK6y8OMEQZZi9c7,Soothing Rainstorm,Rain,Weather,39
0.493,0.961,10,-31.491,1,0.0445,0.901,0.951,0.923,0.0137,88.585,128750,3,In.The.Rain,2ylUNsTrDNBeto5E406xUW,Rain Sounds From A Calm Night,Rain,Weather,39
0.109,0.943,3,-22.887,0,0.0541,0.00988,0.43,0.648,0.0111,93.572,208000,3,BLITZ,4JygmIxvY2CWmJGvgBe00J,Regnerischer Tag,Rain,Weather,39
0.0735,0.74,1,-39.958,1,0.0536,0.259,0.966,0.895,0.00983,79.092,181000,3,The Nature Soundscapes,6DNUn0G3eihQbE9RvlgJiL,Daybreak Rain,Rain,Weather,39
0.101,0.998,6,-24.024,0,0.0489,0.942,0.974,0.923,1e-05,85.158,130791,4,LBE Nature Recordings,48Kg51amgURPSM2gEVaKCS,Rainy Window,Rain,Weather,39
0.32,0.65,1,-28.394,1,0.0679,0.149,0.784,0.601,0.0382,68.176,153951,3,Atlantic Thunders,1Zf7zOrFr0HC0pbcAvxqbj,Wisby Way Rain,Rain,Weather,39
0.221,0.996,0,-14.224,0,0.0928,0.197,0.981,0.44,0.025,97.844,174000,3,naturae,1tYJSbl1q93xx9eQrrzsVF,Calmed By The Rain,Rain,Weather,39
0.348,0.805,7,-27.217,1,0.0608,0.245,0.866,0.29,0.0396,110.788,298655,1,Rain Gems,4CcbIRfzdRKxRt6gsWHnuq,It's Raining Outside,Rain,Weather,39
0.0972,0.999,10,-26.249,0,0.0469,0.147,0.958,0.953,1e-05,149.698,208000,1,Haya Sounds,2LdwiQegqzF99iBr0foZr0,Rain throughout the Day,Rain,Weather,39
0.272,0.391,1,-31.091,1,0.114,0.000734,0.975,0.274,0.273,87.431,212348,1,Aristides Okoro,7akwzmfBSvU7DqqyYOyTh9,Soft Rain Clearing Skies,Rain,Weather,38
0.268,0.999,4,-25.93,1,0.0335,0.411,0.878,0.938,1e-05,107.928,216000,3,In Natura,6M9evc61nk5VzHiiDxaW22,Umbrellic Garden Rain,Rain,Weather,38
0.357,0.952,2,-35.139,1,0.0422,0.13,0.959,0.922,1e-05,51.66,187427,4,Reiki Nataraj,4RAPlesKcPmpHLYoWKjL4o,Light Night Rain,Rain,Weather,38
0.24,1.0,8,-18.103,0,0.103,0.119,0.902,0.7,1e-05,115.635,234000,4,Hinterländer,5q5VEwBjy5gIeUO5fHhlMC,Spirit Of The Rainforest,Rain,Weather,38
0.22,0.999,6,-17.3,1,0.0488,0.618,0.994,0.926,0.00881,71.131,169913,3,Rainy Windows,7mq9wDIgw3sjJvCd89BSPU,Zen Drops,Rain,Weather,38
0.178,0.961,11,-26.531,1,0.0579,0.995,0.724,0.875,1e-05,74.708,195375,4,Wet Rain 3AM,7DT43PWmrMGgPLYlP1CIey,Breeze Rain,Rain,Weather,38
0.314,0.946,6,-36.413,1,0.0455,0.591,0.782,0.956,0.00377,67.374,133250,4,NatuREM,2GjZpbyFka2Ys04Ipe3ehi,Patter (Rain),Rain,Weather,38
0.301,0.533,1,-27.534,1,0.108,0.000997,0.951,0.75,0.0799,81.957,196000,4,The Rain Guru,326CiwUuxd0LcLd3gwWy3N,Gentle Pour,Rain,Weather,38
0.0802,0.999,11,-24.483,0,0.0517,0.663,0.981,0.964,1e-05,80.123,195400,3,Noella Russo,3irHoiM1C9EUMbUhsXmcGe,Rest In A Rainforest,Rain,Weather,38
0.395,0.965,9,-29.521,0,0.0373,0.674,0.965,0.914,0.0074,83.792,170000,4,Shorenights,7kULnoSgYN5pv86XwmKmiA,Sanur (Rain),Rain,Weather,38
0.187,0.993,6,-18.422,1,0.0617,0.0655,0.99,0.917,0.0252,170.937,181375,3,Refreshing Rain,3Z2WB90ojQshe0KTgykNWQ,Chill Raindrops,Rain,Weather,38
0.674,0.23,1,-10.363,0,0.203,0.191,0.0,0.104,0.102,173.963,211920,4,Metro Boomin,22ykS8KWpd2r4zcRZ0XMK5,Dreamcatcher (feat. Swae Lee & Travis Scott),Rain,Weather,65
0.829,0.527,6,-6.644,0,0.367,0.482,0.0,0.631,0.475,116.079,200310,4,J. Cole,6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,Rain,Weather,72
0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969,236280,4,A$AP Rocky,0O3TAouZE4vL9dM5SyxgvH,Fashion Killa,Rain,Weather,77
0.864,0.477,10,-5.786,1,0.224,0.201,0.0,0.182,0.5,86.46,192932,4,Drake,5H4mXWKcicuLKDn4Jy0sK7,Time Flies,Rain,Weather,74
0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4,Mac Miller,2hwOoMtWPtTSSn6WHV7Vp5,Blue World,Rain,Weather,73
0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005,158206,4,A$AP Rocky,2aPTvyE09vUCRwVvj0I8WK,Sundress,Rain,Weather,86
0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,4,Juice WRLD,3RWM7z6BF8C6z9ypLtxz4M,Lean Wit Me,Rain,Weather,0
0.461,0.772,2,-3.98,0,0.375,0.282,0.0,0.178,0.414,167.018,372113,4,Kanye West,1o0kWPueYo94LIjPYOE5Nf,Saint Pablo,Rain,Weather,69
0.689,0.426,0,-9.449,0,0.0367,0.387,0.0,0.129,0.411,90.049,237983,4,Trippie Redd,2c3qwFINQyRGwyqI97UQiA,Forever Ever,Rain,Weather,1
0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733,4,Kanye West,3DK6m7It6Pw857FcQftMds,Runaway,Rain,Weather,83
0.636,0.501,11,-7.26,0,0.329,0.413,0.0,0.339,0.196,82.309,265120,4,Metro Boomin,42k9e2hgl98IdgkXLg4pxs,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",Rain,Weather,60
0.745,0.646,6,-6.987,0,0.17,0.157,0.0,0.338,0.46,79.993,203908,4,Lil Skies,2u7mxWSeoqTXndK5e08jMp,Nowadays (feat. Landon Cube),Rain,Weather,66
0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,375387,4,"Tyler, The Creator",1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU",Rain,Weather,76
0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4,Kid Cudi,30KctD1WsHKTIYczXjip5a,Tequila Shots,Rain,Weather,67
0.754,0.37,6,-9.854,0,0.12,0.403,6.22e-05,0.107,0.228,114.941,193600,4,James Blake,4cQrSREMqBSvJ8ZzBZjVb8,Mile High (feat. Travis Scott & Metro Boomin),Rain,Weather,66
0.628,0.481,1,-7.775,1,0.475,0.29,0.0,0.118,0.33,108.761,254370,5,Future,1B87ZDrD3Pno9hS4stamWO,Comin Out Strong (feat. The Weeknd),Rain,Weather,62
0.517,0.705,6,-8.205,0,0.364,0.0751,0.0,0.128,0.584,175.906,239320,4,J. Cole,6Ius4TC0L3cN74HT7ENE6e,Wet Dreamz,Rain,Weather,1
0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,4,Lil Uzi Vert,0uxSUdBrJy9Un0EYoBowng,20 Min,Rain,Weather,82
0.804,0.539,7,-5.949,0,0.0391,0.0972,0.0,0.347,0.12,111.975,188587,4,Metro Boomin,1pacwLXyRO47ka0v6LTIiY,Raindrops (Insane) [with Travis Scott],Rain,Weather,74
0.723,0.779,2,-6.413,1,0.19,0.00489,0.0,0.0458,0.321,150.046,268894,4,Wiz Khalifa,3bwhl6x6S42hMFrwigJaFw,Mezmorized,Rain,Weather,0
0.402,0.527,9,-6.737,0,0.0917,0.113,8.48e-06,0.105,0.31,81.42,339067,4,Travis Scott,51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),Rain,Weather,81
0.648,0.631,4,-5.662,0,0.104,0.38,0.0,0.12,0.142,105.989,349933,4,Travis Scott,6Yqmv7XJLCrQEauMbPGZSw,Maria I'm Drunk (feat. Justin Bieber & Young Thug),Rain,Weather,72
0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622,200307,4,Weezer,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Sun,Weather,81
0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.385,165067,4,Bobby Hebb,4vju55Ag7apDL2CfotuE7Q,Sunny,Sun,Weather,71
0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995,214720,4,Vance Joy,2RiBogNRfulkNf7fVbPOrJ,Saturday Sun,Sun,Weather,71
0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,146390,4,Still Woozy,4vHNeBWDQpVCmGbaccrRzi,Goodie Bag,Sun,Weather,77
0.629,0.793,9,-5.942,1,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213,4,Colbie Caillat,5YTtTbqxUzJHD3CpbNHerP,Brighter Than The Sun,Sun,Weather,61
0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,201707,4,KT Tunstall,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,Sun,Weather,77
0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,183307,4,Van Morrison,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Sun,Weather,85
0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,174760,4,Edison Lighthouse,5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Sun,Weather,74
0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036,217480,4,Hozier,5Apvsk0suoivI1H8CmBglv,Almost (Sweet Music),Sun,Weather,76
0.63,0.924,0,-5.589,1,0.145,0.0841,3.56e-06,0.084,0.763,100.045,192280,4,Imagine Dragons,213x4gsFDm04hSqIUkg88w,On Top Of The World,Sun,Weather,78
0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.917,219867,4,Sugar Ray,2ouURa1AIXp3AvkS52Jry5,Every Morning,Sun,Weather,73
0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,296147,4,Talking Heads,6aBUnkXuCEQQHAlTokv9or,This Must Be the Place (Naive Melody) - 2005 Remaster,Sun,Weather,73
0.579,0.549,5,-8.262,0,0.0909,0.104,0.0202,0.0964,0.155,119.74,238120,4,Klangkarussell,6Qi0Wls2EaolwPMPMxfe5f,Sonnentanz - Sun Don't Shine,Sun,Weather,72
0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Sun,Weather,85
0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,4,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,Happy Together,Sun,Weather,76
0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,176579,4,Dua Lipa,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Sun,Weather,86
0.673,0.902,10,-4.886,1,0.0553,0.0164,0.0145,0.269,0.704,97.007,225133,4,Michael Franti & Spearhead,6iBWazas8QsDtBnjlXkrXk,The Sound Of Sunshine,Sun,Weather,57
0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4,WILLOW,0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,Sun,Weather,80
0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Sun,Weather,84
0.707,0.763,2,-6.512,1,0.0915,0.0282,2.26e-06,0.102,0.827,159.976,108984,4,WizTheMc,5cF53kSZ8g4YzZqHEJzR9o,For A Minute,Sun,Weather,59
0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,252307,4,Declan McKenna,4sNG6zQBmtq7M8aeeKJRMQ,Brazil,Sun,Weather,83
0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,5,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Sun,Weather,83
0.471,0.924,8,-3.906,1,0.0584,0.00301,0.0,0.313,0.716,154.962,177280,4,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,Everybody Talks,Sun,Weather,80
0.584,0.792,11,-4.147,1,0.0317,0.0135,0.0,0.0487,0.877,89.991,172813,4,Andy Grammer,00V8KJuZ0a089fa25Lc9t7,Fine By Me,Sun,Weather,61
0.414,0.663,6,-7.77,1,0.0456,0.163,0.0,0.138,0.33,108.98,223400,4,Noah Kahan,7nDFTHHwfe32a8qdp9XqPy,False Confidence,Sun,Weather,74
0.836,0.696,7,-6.37,1,0.0401,0.8,0.0,0.0949,0.954,112.692,186567,4,Brenton Wood,4WiGGTl7Kt5vnjQHqwLJy1,Oogum Boogum Song,Sun,Weather,65
0.935,0.479,11,-10.981,0,0.306,0.107,5.16e-05,0.118,0.773,123.643,211000,4,Bob Marley & The Wailers,3GIChxHmuLmBm5PTNZGDtj,Jamming,Sun,Weather,78
0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,242240,4,Boney M.,3pf96IFggfQuT6Gafqx2rt,Sunny,Sun,Weather,70
0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4,Conan Gray,6KfoDhO4XUWSbnyKjNp9c4,Maniac,Sun,Weather,78
0.647,0.834,0,-5.321,1,0.0326,0.00572,0.000689,0.182,0.641,119.925,164187,4,Two Door Cinema Club,59kNaCxnyX7Ezt1m6KxGLY,Something Good Can Work,Sun,Weather,63
0.435,0.517,11,-10.749,0,0.0419,0.583,0.914,0.333,0.442,80.637,108853,4,Hermanos Gutiérrez,4LY7VZhDLlRpsUlBIOZ7Ew,Cerca De Ti,Sun,Weather,69
0.838,0.536,1,-8.645,0,0.0478,0.555,0.000376,0.111,0.107,104.988,195173,4,Matt Simons,11BAVEGi1ivJ6JWLqKUNrZ,Catch & Release - Deepend Remix,Sun,Weather,71
0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Sun,Weather,82
0.659,0.615,11,-5.865,0,0.0644,0.27,0.0,0.187,0.193,119.843,164010,4,Jubël,4GSDkZt7GcmzBWmsMcpaVO,Dancing In The Moonlight (feat. NEIMY),Sun,Weather,74
0.67,0.786,0,-5.216,1,0.0366,0.0418,0.0,0.145,0.806,90.009,190493,4,Andy Grammer,2kebNtlS7DqWE54Z66FZIt,Keep Your Head Up (Album Version),Sun,Weather,66
0.555,0.93,7,-3.641,1,0.0377,0.0484,4.15e-06,0.0898,0.782,138.013,188640,4,Counting Crows,2Y6uY65ZwKl9WbVOvKyZg6,"Accidentally In Love - From ""Shrek 2"" Soundtrack",Sun,Weather,69
0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506,4,Lorde,6K8VQ84MqhsoakN5MjrnVR,Supercut,Sun,Weather,75
0.532,0.795,1,-3.979,1,0.0358,0.0559,0.0,0.295,0.78,143.837,199267,4,Michael Bublé,0mvkwaZMP2gAy2ApQLtZRv,It's a Beautiful Day,Sun,Weather,66
0.686,0.672,11,-5.523,1,0.0323,0.7,0.0,0.135,0.857,128.55,128787,4,Sam Cooke,2G0GextMwZJLkNxcSZ7ZJ3,(What A) Wonderful World - Mono,Sun,Weather,73
0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,232693,4,Toploader,3Fzlg5r1IjhLk2qRw667od,Dancing in the Moonlight,Sun,Weather,81
0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013,204520,4,Bleachers,1BwhFXqoIsePt21WyWIttb,I Wanna Get Better,Sun,Weather,64
0.839,0.83,11,-8.785,1,0.0479,0.363,0.0491,0.112,0.908,117.997,261973,4,Milky Chance,2UAWVtEwFLJqdJsT8FCzKX,Flashed Junk Mind,Sun,Weather,65
0.756,0.58,9,-5.21,0,0.0794,0.38,0.376,0.103,0.294,115.077,218358,4,Maribou State,6VNooTY5w9A9wg1YUsEbKB,Midas,Sun,Weather,70
0.829,0.701,7,-8.587,0,0.078,0.082,0.274,0.135,0.886,164.035,184120,4,L.A.B.,7dGsBUADSyHoD7zdkKi9Ef,Mr Reggae,Sun,Weather,57
0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.128,180267,4,Bob Marley & The Wailers,7yFvSYKk3g5g8e7Ffl16ws,Three Little Birds,Sun,Weather,81
0.731,0.725,1,-5.117,1,0.0349,0.0361,2.49e-05,0.106,0.739,123.01,217784,4,Dua Lipa,7b6sWLSnbZhSIeqNGrJ4py,These Walls,Sun,Weather,83
0.512,0.614,6,-14.368,1,0.0292,0.104,0.738,0.252,0.965,168.071,117173,4,Manchester Orchestra,63k361zOGEhmvgzBdzzSGP,The Sunshine,Sun,Weather,63
0.73,0.849,1,-5.281,0,0.0299,0.00234,2.57e-05,0.312,0.887,117.308,230013,4,Sophie Ellis-Bextor,4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,Sun,Weather,86
0.815,0.412,0,-9.28,1,0.0438,0.362,0.00048,0.129,0.669,87.983,218973,4,ALO,4SeSBHW3My7RdB4UW0h1m9,"Girl, I Wanna Lay You Down",Sun,Weather,61
0.679,0.506,9,-9.497,0,0.0671,0.421,0.00216,0.434,0.588,114.967,169472,4,Jungle,7j3zZ2jAjzFD60UjhldhHo,I've Been In Love,Sun,Weather,74
0.838,0.536,1,-8.645,0,0.0478,0.555,0.000376,0.111,0.107,104.988,195173,4,Matt Simons,11BAVEGi1ivJ6JWLqKUNrZ,Catch & Release - Deepend Remix,Sun,Weather,71
0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,208212,3,Lord Huron,3hRV0jL3vUpRrcy398teAU,The Night We Met,Sun,Weather,89
0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,209483,4,Jungle,19kHhX6f6EfLU7rcO3RqjO,Back On 74,Sun,Weather,86
0.704,0.634,11,-7.374,0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,4,Kygo,1I8tHoNBFTuoJAlh4hfVVE,Firestone,Sun,Weather,77
0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,Sun,Weather,91
0.643,0.275,0,-15.462,1,0.0315,0.939,0.454,0.115,0.603,90.022,206712,4,Amigdala,1xdp8tXLTGbPeUSEODP9N7,Kukira Kau Rumah,Sun,Weather,72
0.435,0.517,11,-10.749,0,0.0419,0.583,0.914,0.333,0.442,80.637,108853,4,Hermanos Gutiérrez,4LY7VZhDLlRpsUlBIOZ7Ew,Cerca De Ti,Sun,Weather,69
0.422,0.44,11,-5.53,1,0.0544,0.617,0.0,0.0837,0.332,128.934,120308,5,JVKE,2PWTZV5znjLtZC5T1EVJvL,this is what falling in love feels like,Sun,Weather,78
0.389,0.598,7,-8.436,1,0.0309,0.531,0.407,0.143,0.517,143.931,400560,4,落日飛車 Sunset Rollercoaster,59Bc4RPzSL3nYPANh25a6J,My Jinji,Sun,Weather,55
0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,4,Beach House,7H0ya83CMmgFcOhw0UB6ow,Space Song,Sun,Weather,79
0.772,0.604,5,-9.548,1,0.0826,0.129,0.619,0.13,0.338,121.995,419500,4,Jimmy Sax,2b0Aosp8Qa3Gt3AVvp2DJl,No Man No Cry,Sun,Weather,58
0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,237000,4,Bob Marley & The Wailers,5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Sun,Weather,84
0.806,0.741,1,-6.362,0,0.0471,0.0234,3.73e-05,0.0746,0.563,119.971,176000,4,Thierry Von Der Warth,1x7NAvqHgCvhV549ls0FTE,Sunset Lovers,Sun,Weather,62
0.816,0.492,10,-7.464,0,0.0752,0.431,0.0896,0.0995,0.765,115.989,234370,4,Jungle,44ZKnfWEkp7wPs035j4Tua,Casio,Sun,Weather,70
0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4,Arctic Monkeys,58ge6dfP91o9oXMzq3XkIS,505,Sun,Weather,80
0.7,0.705,5,-6.026,1,0.0414,0.148,0.0343,0.161,0.521,99.97,246169,4,TEEMID,4sigEqg7SMeZsn8haXoloU,Wonderwall,Sun,Weather,64
0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,Heather,Sun,Weather,86
0.642,0.628,6,-8.488,1,0.0328,0.764,0.957,0.0851,0.25,119.981,134781,4,Tobÿ,65q5Ei9B7MOxzqhyQYB0b5,A Beautiful Day,Sun,Weather,59
0.702,0.52,7,-8.618,1,0.0546,0.103,0.153,0.115,0.0489,115.07,240010,4,Vandelux,5z49EsoURUXq88RSLBmYPG,Matter of Time,Sun,Weather,69
0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,160097,4,The Lumineers,7gUvAzKQ651eGm16AqcTbP,Ophelia,Sun,Weather,78
0.804,0.702,9,-6.042,0,0.0342,0.159,0.00101,0.237,0.486,118.998,148461,4,Solar State,4EdlKtTxltiqGEdiOd2AUE,Chasing (feat. NEIMY),Sun,Weather,52
0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,215280,4,Post Malone,21jGcNKet2qwijlDFuPiPb,Circles,Sun,Weather,86
0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012,191000,4,Imagine Dragons,0fsEFwLSJTSHSawhe864Cp,Shots - Broiler Remix,Sun,Weather,72
0.879,0.565,11,-8.809,1,0.037,0.412,0.000239,0.0798,0.685,114.009,313627,4,Milky Chance,0ZfByLXCeKchuj7zi1CJ0S,Stolen Dance,Sun,Weather,76
0.654,0.67,1,-10.393,1,0.0403,0.149,0.157,0.118,0.528,120.028,147125,4,NSH,16hV7KbASg4EWoEymJerRA,Sunbeams,Sun,Weather,61
0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034,223187,4,Kygo,5masKPHeAOVNgxdLebIcK7,Stole the Show,Sun,Weather,76
0.856,0.554,7,-9.015,1,0.0482,0.2,0.0792,0.11,0.76,121.025,158770,4,Meynberg,2Od3Ysez43Zq6SgUijASW1,Lights Go Down,Sun,Weather,56
0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Sun,Weather,82
0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,176667,3,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD,Until I Found You,Sun,Weather,79
0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4,Fitz and The Tantrums,2AYEOC02WLhUiOoaig2SEH,Out of My League,Sun,Weather,76
0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,248960,5,Sufjan Stevens,5GbVzc6Ex5LYlLJqzRQhuy,Mystery of Love,Sun,Weather,70
0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,363240,4,Tame Impala,52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes",Sun,Weather,78
0.49,0.88,2,-4.856,1,0.0435,0.00154,0.0,0.103,0.392,169.949,184013,4,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,Chemical,Sun,Weather,81
